; ;Phase;Connectivity;X;Y;PhaseConnectivity
2;3;0;0;1252;849;00
3;4;0;0;1350;938;00
4;5;0;0;270;979;00
5;6;0;0;754;1416;00
49;50;0;1;1104;4;01
59;60;0;1;396;158;01
63;64;0;1;671;212;01
67;68;0;1;1098;248;01
69;70;0;1;323;270;01
71;72;0;1;1407;283;01
73;74;0;1;318;296;01
74;75;0;1;1103;306;01
76;77;0;1;1275;308;01
78;79;0;1;1509;311;01
83;84;0;1;1183;387;01
85;86;0;1;1124;424;01
86;87;0;1;593;427;01
92;93;0;1;623;491;01
94;95;0;1;1042;505;01
96;97;0;1;392;522;01
98;99;0;1;1088;530;01
99;100;0;1;1072;537;01
107;108;0;1;191;619;01
111;112;0;1;502;648;01
118;119;0;1;1245;725;01
119;120;0;1;1183;728;01
126;127;0;1;531;793;01
128;129;0;1;1215;821;01
129;130;0;1;1234;835;01
134;135;0;1;867;901;01
135;136;0;1;201;912;01
136;137;0;1;506;914;01
139;140;0;1;232;951;01
140;141;0;1;1043;959;01
145;146;0;1;267;997;01
146;147;0;1;1396;997;01
147;148;0;1;1024;1003;01
148;149;0;1;1104;1003;01
153;154;0;1;455;1067;01
157;158;0;1;67;1093;01
161;162;0;1;504;1134;01
164;165;0;1;1332;1149;01
165;166;0;1;510;1157;01
166;167;0;1;527;1161;01
169;170;0;1;554;1174;01
171;172;0;1;1319;1186;01
172;173;0;1;1069;1194;01
181;182;0;1;50;1292;01
184;185;0;1;970;1331;01
185;186;0;1;491;1336;01
187;188;0;1;1117;1360;01
188;189;0;1;541;1362;01
189;190;0;1;785;1369;01
190;191;0;1;905;1377;01
194;195;0;1;632;1401;01
195;196;0;1;807;1430;01
196;197;0;1;819;1433;01
197;198;0;1;961;1444;01
198;199;0;1;974;1452;01
199;200;0;1;4;1460;01
200;201;0;1;760;1467;01
201;202;0;1;243;1495;01
202;203;0;1;215;1506;01
257;258;0;3;1109;16;03
260;261;0;3;1461;64;03
261;262;0;3;1478;83;03
262;263;0;3;384;144;03
263;264;0;3;838;153;03
264;265;0;3;421;242;03
265;266;0;3;445;251;03
266;267;0;3;1423;280;03
267;268;0;3;1442;288;03
269;270;0;3;1491;321;03
271;272;0;3;1118;409;03
272;273;0;3;408;472;03
273;274;0;3;1045;526;03
275;276;0;3;1;562;03
276;277;0;3;507;580;03
277;278;0;3;261;635;03
278;279;0;3;768;658;03
279;280;0;3;746;668;03
280;281;0;3;1230;723;03
281;282;0;3;631;792;03
282;283;0;3;1201;797;03
283;284;0;3;1198;819;03
284;285;0;3;60;846;03
285;286;0;3;816;867;03
286;287;0;3;1423;869;03
287;288;0;3;990;879;03
288;289;0;3;156;901;03
289;290;0;3;177;912;03
290;291;0;3;813;1057;03
291;292;0;3;513;1067;03
292;293;0;3;353;1105;03
294;295;0;3;981;1300;03
295;296;0;3;893;1367;03
296;297;0;3;861;1448;03
